QA_or_QH,s_initial,nparticles,tfinal,nsamples,multharm,ns_s,ns_tp,nper,npoiper,npoiper2,notrace_passing,nruns,duration_per_run,std_J,mean_J,coeff_variation
QH,0.3,500,0.0005,3000,3,3,3,300,200,120,0,10,4.3166299104690555,0.0,0.31599999999999995,0.0
QH,0.3,1500,0.0005,3000,3,3,3,300,200,120,0,10,7.704722118377686,5.551115123125783e-17,0.3200000000000001,1.7347234759768064e-16
QH,0.3,500.0,0.0015,3000,3,3,3,300,200,120,0,10,7.078237009048462,0.0,0.33199999999999996,0.0
QH,0.3,500.0,0.0005,3000,3,3,3,900,200,120,0,10,11.012152767181396,5.551115123125783e-17,0.3200000000000001,1.7347234759768064e-16
QH,0.3,500.0,0.0005,3000,3,3,3,300.0,600,120,0,10,12.169547772407531,5.551115123125783e-17,0.308,1.8023101049109684e-16
QH,0.3,500.0,0.0005,3000,3,3,3,300.0,200.0,360,0,10,7.485076951980591,0.0,0.31599999999999995,0.0
QH,0.3,500,0.0005,3000,3,3,3,300,200,120,0,10,2.5855441331863402,0.0,0.31599999999999995,0.0
QH,0.3,1500,0.0005,3000,3,3,3,300,200,120,0,10,4.096217155456543,5.551115123125783e-17,0.3200000000000001,1.7347234759768064e-16
QH,0.3,500.0,0.0015,3000,3,3,3,300,200,120,0,10,4.532854390144348,0.0,0.33199999999999996,0.0
QH,0.3,500.0,0.0005,3000,3,3,3,900,200,120,0,10,6.513289213180542,5.551115123125783e-17,0.3200000000000001,1.7347234759768064e-16
QH,0.3,500.0,0.0005,3000,3,3,3,300.0,600,120,0,10,6.728959965705871,5.551115123125783e-17,0.308,1.8023101049109684e-16
QH,0.3,500.0,0.0005,3000,3,3,3,300.0,200.0,360,0,10,3.819419097900391,0.0,0.31599999999999995,0.0
QH,0.3,500.0,0.0005,9000,3,3,3,300.0,200.0,120.0,0,10,2.8247506380081178,5.551115123125783e-17,0.308,1.8023101049109684e-16
QH,0.3,500,0.0005,3000,3,3,3,300,200,120,0,10,2.1508986234664915,0.0,0.31599999999999995,0.0
QH,0.3,1500,0.0005,3000,3,3,3,300,200,120,0,10,3.249243974685669,5.551115123125783e-17,0.3200000000000001,1.7347234759768064e-16
QH,0.3,500.0,0.0015,3000,3,3,3,300,200,120,0,10,3.044373631477356,0.0,0.33199999999999996,0.0
QH,0.3,500.0,0.0005,3000,3,3,3,900,200,120,0,10,5.110504889488221,5.551115123125783e-17,0.3200000000000001,1.7347234759768064e-16
QH,0.3,500.0,0.0005,3000,3,3,3,300.0,600,120,0,10,4.952587676048279,5.551115123125783e-17,0.308,1.8023101049109684e-16
QH,0.3,500.0,0.0005,3000,3,3,3,300.0,200.0,360,0,10,3.2851766109466554,0.0,0.31599999999999995,0.0
QH,0.3,500.0,0.0005,9000,3,3,3,300.0,200.0,120.0,0,10,2.356355142593384,5.551115123125783e-17,0.308,1.8023101049109684e-16
